College,Course,LO,Rubric,Description
AH,AH110,primarysources,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH110-primarysources,"Locate, contextualize, and close-read historical evidence."
AH,AH110,historicalargument,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH110-historicalargument,Construct a historical argument based on primary and secondary source analysis.
AH,AH110,evidencebased,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH110-evidencebased,Identify and appropriately structure the information needed to support an argument eectively
AH,AH110,historicalsilences,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH110-historicalsilences,Identify and analyze silences and marginalized voices in the making and recording of history
AH,AH110,historicalperspective,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH110-historicalperspective,Identify and analyze the assumptions and biases undergirding the production of primary and secondary sources. All historical actors and historians write from a particular perspective; an eective historical analysis requires careful consideration of this perspective and the way in which it shapes what and how a particular text or other source is written or imagined.
AH,AH110,historicaldebate,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH110-historicaldebate,"Analyze the way in which secondary sources on history respond to, build on, or challenge one another in terms of research question, argument, scales of analysis, and methodological and analytical frameworks."
AH,AH110,socialorder,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH110-socialorder,"Evaluate the use of dierent forms of thought (political, epistemological, economic, scientific, and religious) as tools to order societies and analyze how these forms of thought are impacted by societal developments."
AH,AH110,identityanddierence,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH110-identityanddierence,"Analyze shifting historical perceptions of dierence along racial, ethnic, gender, and religious lines."
AH,AH110,globalpast,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH110-globalpast,Place a historical phenomenon in global perspective and evaluate how a global perspective enhances or limits our ability to conceptualize the past.
AH,AH110,glocalization,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH110-glocalization,Analyze the mutually-impacting relationship between local and global developments in history.
AH,AH110,globalruptures,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH110-globalruptures,"Analyze how economic, social, political, intellectual, environmental, and cultural watersheds contributed to global ruptures and convergences in the modern era."
AH,AH110,globalscienceandtech,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH110-globalscienceandtech,"Analyze how the production of scientific knowledge and innovations in technology shaped and were shaped by political and social life across eras, cultures, and continents."
AH,AH110,migrationincontext,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH110-migrationincontext,"Historicize, and evaluate frameworks for analyzing, the motivations for and impacts of the movement of peoples and their cultures."
AH,AH110,historicalagency,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH110-historicalagency,"Analyze the role of agency (human and non-human) in the making and recording of
history."
AH,AH110,historiography,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH110-historiography,"Critically analyze secondary sources with respect to scope and framing of research question, argument, scales of analysis, sources, and methodological and analytical frameworks and situate them with respect to existing literature on the topic."
AH,AH110,raceandethnicity,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH110-raceandethnicity,Analyze and situate historically shifting conceptions and perceptions of racial and ethnic difference from a global perspective.
AH,AH111,Assumptions,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH111-Assumptions,"Explain the significance of background assumptions in philosophical arguments, and explain or evaluate their significance for the argument."
AH,AH111,Challenges,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH111-Challenges,Anticipate and respond to challenges to philosophical claims or theories.
AH,AH111,DistinctionsDefinitions,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH111-DistinctionsDefinitions,Analyze philosophical definitions of and distinctions between concepts using textual evidence; explain the function of definitions and distinctions for an argument.
AH,AH111,Implications,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH111-Implications,"Develop arguments regarding the possible, likely, or necessary consequences of a philosophical position to support an evaluative stance."
AH,AH111,PhilReasoning,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH111-PhilReasoning,"Analyze and explain methods of reasoning employed by philosophers, including deductive logic, induction, and abduction."
AH,AH111,Justice,https://forum.minerva.edu/app/outcome-index/learning-outcomes/AH111-Justice,"Identify competing definitions of justice, and analyze and evaluate arguments regarding justice."
